,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,MAE
169,500,10.0,2,4,log2,22438.79601002046
170,500,10.0,2,4,,16917.278752153507
171,500,10.0,5,1,sqrt,18037.338994284353
172,500,10.0,5,1,log2,20490.52819624045
173,500,10.0,5,1,,16684.97797450365
174,500,10.0,5,2,sqrt,18103.752607535735
175,500,10.0,5,2,log2,21103.545710240254
176,500,10.0,5,2,,16656.512848240192
177,500,10.0,5,4,sqrt,18766.071809517514
178,500,10.0,5,4,log2,22438.79601002045
179,500,10.0,5,4,,16917.27875215351
180,500,10.0,10,1,sqrt,18387.037804328225
181,500,10.0,10,1,log2,20833.503078982678
182,500,10.0,10,1,,16845.868528663832
183,500,10.0,10,2,sqrt,18406.020700104324
184,500,10.0,10,2,log2,21460.47822683555
185,500,10.0,10,2,,16835.721910788663
186,500,10.0,10,4,sqrt,18820.37276628109
187,500,10.0,10,4,log2,22410.407887089506
188,500,10.0,10,4,,17032.737680599876
189,500,20.0,2,1,sqrt,16997.73069106146
190,500,20.0,2,1,log2,18385.302117239517
191,500,20.0,2,1,,16386.23522991409
192,500,20.0,2,2,sqrt,17412.312243540742
193,500,20.0,2,2,log2,19968.318152705622
194,500,20.0,2,2,,16463.275520173393
195,500,20.0,2,4,sqrt,18451.82332097254
196,500,20.0,2,4,log2,21897.35992209882
197,500,20.0,2,4,,16824.263429659513
198,500,20.0,5,1,sqrt,17147.8011966576
199,500,20.0,5,1,log2,18880.40212701715
200,500,20.0,5,1,,16448.14021050933
201,500,20.0,5,2,sqrt,17495.592305680908
202,500,20.0,5,2,log2,19898.098749364883
203,500,20.0,5,2,,16527.98398422312
204,500,20.0,5,4,sqrt,18451.823320972548
205,500,20.0,5,4,log2,21897.35992209882
206,500,20.0,5,4,,16824.263429659513
207,500,20.0,10,1,sqrt,17510.590960960148
208,500,20.0,10,1,log2,19608.925721333555
209,500,20.0,10,1,,16665.320701960205
210,500,20.0,10,2,sqrt,17928.79246134506
211,500,20.0,10,2,log2,20415.892178373313
212,500,20.0,10,2,,16735.550544107387
213,500,20.0,10,4,sqrt,18557.155803941376
214,500,20.0,10,4,log2,21803.796043535924
215,500,20.0,10,4,,16927.578363975157
216,500,,2,1,sqrt,16893.741112328767
217,500,,2,1,log2,18476.5729369863
